SMILES,Idx,FID
[5*]N1c2ccc([16*])cc2C(C)(C)c2cc([16*])ccc21,15,47
[7*]=C(c1ccccc1)c1ccc2c(c1)c1ccccc1n2[9*],0,209
[7*]=C(c1ccccc1)c1ccc2c(c1)c1ccccc1n2[9*],21,190
[14*]c1cc([16*])ccn1,0,14
[14*]c1cc([16*])ccn1,4,32
[16*]c1ccc2c(c1)sc1ccccc12,0,572
[9*]n1nc(C)c2c(=O)oc3ccc([16*])cc3c21,0,201
[9*]n1nc(C)c2c(=O)oc3ccc([16*])cc3c21,13,220
[9*]n1c2ccccc2c2c3ccccc3sc21,0,518
[16*]c1ccc(C#N)c2nsnc12,0,399
[16*]c1ccc2nc3c4ccc([16*])cc4c4cc([16*])ccc4c3nc2c1,0,73
[16*]c1ccc2nc3c4ccc([16*])cc4c4cc([16*])ccc4c3nc2c1,11,48
[16*]c1ccc2nc3c4ccc([16*])cc4c4cc([16*])ccc4c3nc2c1,17,48
[16*]c1c(F)c(F)c([16*])c2nsnc12,0,100
[16*]c1c(F)c(F)c([16*])c2nsnc12,7,100
[16*]c1cc([16*])c(C#N)c([16*])c1,0,15
[16*]c1cc([16*])c(C#N)c([16*])c1,4,21
[16*]c1cc([16*])c(C#N)c([16*])c1,9,21
[16*]c1ccc2cc3cc([16*])ccc3cc2c1,0,170
[16*]c1ccc2cc3cc([16*])ccc3cc2c1,9,170
[16*]c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1C,0,542
